"species","n_events","n_stations"
"Armadillo","33","6"
"Bird","20","3"
"Black vulture","23","2"
"Bobcat","3","2"
"Coyote","37","2"
"Eastern gray squirrel","1","1"
"Fox squirrel","3","2"
"Gray fox","9","2"
"Hog","9","4"
"Human","18","12"
"Raccoon","35","5"
"Turkey vulture","53","4"
"Virginia opossum","23","3"
"White-tailed deer","104","7"
